Kanske et al. (2010) - Supplement
LANG database, including valence mean and sd, arousal mean and sd,
concreteness mean and sd, frequency, number of letters and syllables.
Ratings from all, female, and male participants are provided separately.
all participants
word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Antrieb	5.492064	1.941674	3.016129	2.012192	7.064516	2.023396	13	7	2
Anus	4.593750	1.779234	5.796875	2.583093	2.500000	2.132881	17	4	2
Anwalt	4.781250	1.578313	3.000000	2.192362	3.412698	2.332346	10	6	2
Anzahl	5.126984	0.729385	2.338710	1.983072	6.770492	2.305020	10	6	2
Anzug	5.390625	1.267634	2.868853	2.334348	2.064516	1.706986	11	5	2
Apfel	5.718750	1.627821	3.578125	2.091591	1.206349	0.743981	13	5	2
Applaus	6.241936	2.005611	5.079365	2.438281	5.603175	2.768135	11	7	2
Archiv	4.953125	0.880651	2.377049	1.942198	3.278689	2.556894	12	6	2
Ärger	3.359375	2.220876	6.206349	2.111098	7.967213	1.303421	10	5	2
Armut	3.531250	2.581797	5.770492	2.685724	7.126984	2.232401	10	5	2
Arsch	4.203125	2.255010	6.906250	2.106066	2.274194	1.917729	14	5	1
Arznei	4.765625	1.659434	3.920635	2.431657	3.238095	2.407745	14	6	2
Ass	5.796875	2.296856	3.500000	2.481679	4.064516	2.963554	16	3	1
Ast	5.218750	1.030776	2.206349	1.705387	1.333333	0.567962	13	3	1
Ästhet	6.015873	1.727314	4.111111	2.443630	5.761905	2.644009	16	6	2
Asthma	3.634921	2.273988	4.250000	2.416872	4.571429	3.057061	14	6	2
Athlet	5.746032	1.759474	4.031250	2.481479	3.370968	2.477663	13	6	2
Aufriss	5.046875	1.314506	3.444444	2.360821	6.095238	2.447608	18	7	2
Aufsatz	4.937500	0.852168	2.328125	1.727965	4.761905	2.662247	13	7	2
Aufsicht	4.843750	1.335935	2.274194	1.719410	6.015873	2.648749	12	8	2
Aufstieg	6.187500	1.670234	3.640625	2.352757	6.095238	2.332894	10	8	2
Aufzug	5.125000	0.934353	2.451613	1.626395	2.209677	1.856642	13	6	2
Ausflug	5.906250	1.761301	3.539683	2.408489	5.603175	2.574939	12	7	2
Ausguck	5.562500	1.307791	3.112903	2.096874	3.790323	2.662041	17	7	2
Auskunft	5.203125	0.994903	2.435484	1.798186	6.435484	2.426770	10	8	2
Autor	5.687500	1.467911	3.048387	2.003500	3.854839	2.540471	9	5	2
Baby	6.650794	2.616072	5.531250	2.519566	2.111111	1.597489	11	4	2
Bach	5.375000	1.685607	3.238095	2.353544	2.031746	1.379203	11	4	1
Bad	6.063492	1.785904	3.904762	2.786571	1.774194	1.310980	11	3	1
Bagger	4.968750	0.853913	2.516129	1.870758	1.269841	0.573792	12	6	2
Bahn	5.125000	1.188570	2.806452	2.481662	1.612903	1.076650	9	4	1
Balken	5.079365	0.679221	2.269841	1.724644	1.868853	1.359846	13	6	2
Balkon	5.765625	2.150985	3.142857	1.949832	1.873016	1.486412	12	6	2
Ball	5.578125	1.520283	2.921875	2.198879	1.349206	0.918602	9	4	1
Balsam	6.158730	1.944441	4.343750	2.365216	4.225807	2.813430	14	6	2
Bambus	5.578125	1.434326	3.000000	2.024441	1.516129	0.882284	15	6	2
Bankrott	3.063492	2.614309	5.187500	2.724813	6.161290	2.920777	13	8	2
Bar	5.888889	2.072174	3.873016	2.439540	2.698413	2.060652	11	3	1
Basar	5.312500	1.390158	3.983607	2.452834	2.758065	1.705204	13	5	2
Bastard	3.396825	2.492179	6.126984	2.324429	5.634921	2.641490	15	7	2
Bastler	5.515625	1.272321	2.656250	1.827643	3.741936	2.598458	15	7	2
Bauch	5.375000	1.278640	4.000000	2.383808	2.095238	1.444838	11	5	1
Bauer	5.140625	0.923540	2.377049	1.674952	3.016129	2.315252	10	5	2
Baum	5.562500	1.798368	2.444444	1.838458	1.460318	0.876676	10	4	1
Becher	4.968750	0.689346	1.645161	1.505147	1.412698	1.010189	12	6	2
Becken	5.421875	1.445350	2.714286	2.019490	2.274194	1.738375	12	6	2
Beet	5.359375	1.226263	2.180328	1.736934	1.777778	1.113617	16	4	1
Befund	4.812500	1.245627	3.190476	2.093439	5.629032	2.587700	13	6	2
Beifall	6.403226	2.028160	5.484375	2.519714	5.306452	2.731652	10	7	2
Bein	5.281250	0.765709	2.873016	2.136413	1.354839	0.629774	11	4	1
Beispiel	5.250000	0.776643	2.370968	2.001916	6.064516	2.839251	9	8	2
Beleg	5.109375	0.645305	2.274194	2.120697	4.650794	2.846383	12	5	2
Berg	5.562500	1.412810	3.460318	2.123793	1.838710	1.404834	10	4	1
Bericht	5.079365	1.004853	2.177419	1.664718	4.492064	2.850427	8	7	2
Beruf	5.671875	1.533278	2.906250	2.201866	5.904762	2.698353	9	5	2
Bescheid	4.812500	1.139131	2.546875	1.726816	5.936508	2.455232	11	8	2
Besen	4.765625	0.771356	1.983871	1.476504	1.206349	0.480548	13	5	2
Bestand	4.984375	0.845008	2.190476	1.664207	6.725807	2.416944	11	7	2
Besteck	4.859375	0.852023	2.080645	1.518178	1.661290	1.186586	15	7	2
Bestie	3.500000	2.708517	6.984127	2.317480	5.209677	2.829222	14	6	2
Besuch	5.937500	1.660704	3.640625	2.170269	5.936508	2.583278	9	6	2
Betrag	4.983871	1.063430	2.677419	1.956697	5.047619	2.690656	10	6	2
Betreff	5.218750	0.916667	1.983607	1.746347	6.951613	2.145735	16	7	2
Betrug	3.250000	2.519763	5.857143	2.638775	6.677419	2.386947	11	6	2
Bett	5.857143	2.116427	4.000000	2.606463	1.370968	0.706733	10	4	1
Beweis	5.359375	1.145969	3.281250	2.134142	5.984127	2.785284	10	6	2
Biest	3.571429	2.234006	6.634921	2.112189	5.428571	2.650102	15	5	1
Bild	5.396825	1.508467	3.250000	2.152887	2.412698	1.854680	8	4	1
Bildnis	5.603175	1.476042	3.031250	2.054563	4.222222	2.599283	14	7	2
Bildung	6.428571	2.486832	4.656250	2.514837	7.467742	2.109446	9	7	2
Binde	4.484375	1.402856	3.338710	2.179965	2.190476	1.511858	15	5	2
Birke	5.312500	1.412810	2.548387	2.109133	1.596774	1.384453	15	5	2
Bistro	5.515625	1.511776	3.048387	1.945381	3.142857	2.354523	13	6	2
Bitte	5.890625	1.604727	4.666667	2.355502	7.080645	2.098387	10	5	2
Blase	4.796875	0.928896	3.671875	1.944097	2.015873	1.529200	14	5	2
Blatt	5.375000	0.951190	2.730159	2.208534	2.015873	1.736627	10	5	1
Blech	4.906250	0.750000	2.177419	1.903613	1.730159	1.110163	13	5	1
Blinker	5.093750	0.867742	2.387097	1.944769	2.048387	1.633937	16	7	2
Blume	6.354839	2.333623	3.936508	2.468335	1.500000	1.004090	12	5	2
Blüte	6.609375	2.394552	4.375000	2.413586	1.838710	1.404834	13	5	2
Blutung	3.687500	2.076895	6.079365	2.245437	3.209677	2.347912	16	7	2
Bogen	5.296875	1.049258	2.765625	1.949702	2.951613	2.279110	11	5	2
Bohne	5.109375	1.009749	2.492064	1.974621	1.603175	1.085679	16	5	2
Bombe	2.952381	2.708580	6.047619	2.542723	2.079365	1.771655	11	5	2
Bonbon	5.984127	1.755104	3.312500	2.069238	1.741936	1.213794	14	6	2
Boot	5.609375	1.267634	2.507937	1.803876	1.349206	0.675820	10	4	1
Bordell	4.206349	2.470201	6.580645	1.851436	2.596774	2.250389	14	7	2
Bosheit	3.222222	2.510908	5.515625	2.189384	7.790323	1.548528	14	7	2
Bote	5.245902	1.233636	2.725807	1.812248	3.603175	2.524331	13	4	2
Braut	6.322581	2.230741	5.317460	2.198426	2.190476	1.624978	11	5	1
Brett	4.890625	0.892956	2.190476	1.847903	1.661290	1.100574	12	5	1
Brezel	5.625000	1.795055	2.555556	1.924191	1.629032	1.148540	16	6	2
Brief	5.809524	1.533046	3.921875	2.477228	1.338710	1.100574	9	5	1
Brücke	5.515625	1.490629	2.532258	1.715099	1.365079	0.955487	10	6	2
Bruder	6.093750	1.997767	3.890625	2.437258	2.903226	2.316793	9	6	2
Brust	6.380952	1.698468	5.838710	2.437370	1.645161	1.160791	10	5	1
Büchse	4.953125	0.998883	2.622951	2.229828	1.793651	1.536216	13	6	2
Buckel	4.156250	1.644797	3.656250	2.502182	2.460318	1.584455	14	6	2
Büfett	5.875000	1.812654	3.746032	2.235839	3.079365	2.295167	14	6	2
Bühne	6.047619	1.679368	3.812500	2.329078	1.936508	1.412765	8	5	2
Bündel	5.031250	0.835117	2.741936	2.087712	3.174603	2.317811	13	6	2
Büro	4.793651	1.345947	2.225807	1.928385	2.758065	2.085748	9	4	2
Busen	6.000000	2.031498	6.523810	2.014921	1.714286	0.905691	12	5	2
Butter	4.936508	0.948224	2.306452	1.825042	1.693548	1.064921	12	6	2
Chance	6.047619	2.231942	5.406250	2.511679	6.967742	2.202590	8	6	2
Chaos	3.765625	1.982000	6.047619	2.372073	7.435484	1.921586	10	5	2
Charme	6.634921	2.157519	5.781250	2.104181	7.426230	1.802397	11	6	1
Dach	5.171875	1.120582	2.426230	1.765021	1.580645	1.064300	10	4	1
Dackel	5.015625	1.397188	2.672131	2.038965	1.460318	0.980872	14	6	2
Dame	6.171875	1.964403	4.328125	2.436851	3.333333	2.348644	10	4	2
Damm	5.453125	1.220587	2.920635	2.350714	1.887097	1.368316	11	4	1
Dämon	3.507937	2.487861	6.078125	2.372492	5.841270	2.946876	14	5	2
Dampf	5.015625	0.604013	2.406250	1.550410	3.322581	2.487834	13	5	1
Dank	6.253968	2.117274	4.671875	2.643078	7.306452	1.955142	10	4	1
Daumen	5.046875	0.862438	2.571429	1.956909	1.516129	1.327415	13	6	2
Decke	5.312500	1.367131	2.467742	1.852935	1.634921	1.273826	11	5	2
Deckel	4.984375	0.723576	1.984127	1.560522	1.920635	1.734857	13	6	2
Delle	4.609375	1.475914	2.951613	2.279110	2.603175	2.028345	15	5	2
Delphin	6.046875	1.794433	3.484375	2.336679	1.492064	1.013983	15	7	2
Denkmal	5.703125	1.465797	3.312500	2.046096	1.936508	1.635030	11	7	1
Depp	3.781250	2.042942	4.984375	2.367050	6.333333	2.495157	15	4	1
Dessert	5.967742	1.974989	4.859375	2.461560	2.031746	1.177316	14	7	2
Detail	5.328125	1.054916	2.790323	2.203850	6.596774	2.357129	11	6	2
Diele	5.093750	0.987521	2.327869	1.823196	2.730159	2.223093	15	5	2
Dildo	4.920635	2.002431	6.453125	2.389990	1.888889	1.637377	18	5	2
Dirne	4.453125	1.934890	4.671875	2.513801	4.571429	2.613330	14	5	2
Disco	6.000000	1.745743	5.468750	2.203668	3.206349	2.701008	12	5	2
Distrikt	4.828125	1.189300	2.380952	1.790914	6.000000	2.750758	15	8	2
Diva	5.687500	1.841971	5.698413	2.366670	5.380952	2.517222	13	4	2
Docht	5.109375	1.114368	3.158730	2.470512	1.984127	1.755104	17	5	1
Dorf	4.968750	1.436141	2.532258	1.705514	2.158730	1.705838	9	4	1
Dose	5.078125	0.741185	2.190476	1.683479	1.460318	0.799706	13	4	2
Dozent	5.203125	0.945829	2.984127	2.067350	3.238095	2.563480	13	6	2
Draht	4.562500	1.166667	2.507937	1.730868	1.629032	0.853803	13	5	1
Drangsal	3.603175	2.004348	4.406250	2.635043	7.435484	1.789047	17	8	2
Dreck	3.750000	2.062515	5.093750	2.486272	2.952381	2.113158	12	5	1
Drogen	3.047619	2.630029	6.793651	2.397302	3.126984	2.151459	10	6	2
Drohung	3.437500	2.376305	6.507937	2.285106	7.322581	1.862258	11	7	2
Drucker	5.031250	0.712000	2.180328	1.688275	2.532258	2.147952	13	7	2
Duft	6.290323	1.986736	5.693548	2.577257	5.741936	2.868343	12	4	1
Dummheit	3.593750	2.021462	5.645161	2.173588	7.870968	1.654441	12	8	2
Dürre	3.750000	2.015811	4.203125	2.146830	5.096774	2.622161	13	5	2
Dusche	5.758065	1.930646	3.968254	2.488478	1.571429	0.962428	13	6	2
Echo	5.312500	1.125110	3.890625	2.303325	5.793651	2.754227	11	4	2
Efeu	5.468750	1.447151	2.951613	2.213427	1.650794	1.369704	15	4	2
Effekt	5.312500	1.193567	2.952381	2.011488	6.774194	2.307645	11	6	2
Ehe	5.777778	2.105633	5.746032	2.416130	5.770492	2.783244	10	3	2
Ehre	6.380952	2.239157	4.875000	2.353653	8.147541	1.514772	10	4	2
Ehrung	6.333333	1.934408	5.253968	2.416130	7.661290	1.745660	12	6	2
Eiche	5.187500	1.355471	2.428571	1.981481	1.666667	1.402762	13	5	2
Eifer	5.793651	2.237213	4.968750	2.302302	7.903226	1.339313	12	5	2
Einfahrt	5.093750	0.830352	1.983871	1.583645	4.079365	2.629250	13	8	2
Eintritt	5.046875	0.880651	2.714286	1.912848	6.000000	2.781673	10	8	2
Eisen	4.703125	1.177564	2.206349	1.815336	2.213115	1.924532	12	5	2
Eiter	3.253968	2.355284	6.047619	2.317038	2.612903	2.249625	17	5	2
Ekel	3.312500	2.429155	6.532258	2.147952	7.887097	1.660583	13	4	2
Ekzem	3.269841	2.477032	6.109375	2.679239	3.000000	2.276033	18	5	2
Elan	5.873016	1.955077	4.650794	2.342860	7.870968	1.454038	13	4	2
Elend	2.919355	2.812725	6.682540	2.277700	6.806452	2.164079	11	5	2
Elfe	6.190476	2.006901	4.609375	2.327320	5.096774	2.861329	16	4	2
Engel	6.718750	2.291937	5.650794	2.597510	4.483871	3.044705	10	5	2
Ente	5.555556	1.456662	2.693548	2.100653	1.596774	1.487210	13	4	2
Erbse	5.140625	1.180089	1.951613	1.731364	1.444444	1.059181	17	5	2
Eule	5.406250	1.317992	2.983871	2.146228	1.714286	1.288016	14	4	2
Fabel	5.523810	1.401119	2.596774	1.664082	4.737705	2.713556	13	5	2
Fackel	5.328125	1.543596	4.031250	2.383600	1.619048	1.197155	14	6	2
Faden	5.062500	0.613990	2.114754	1.761613	1.698413	1.041632	13	5	2
Fähre	5.492064	1.255607	2.396825	1.764705	1.777778	1.590744	12	5	2
Fahrer	5.328125	1.084592	2.344262	1.878699	3.758065	2.393197	9	6	2
Fahrt	5.359375	1.173344	2.460318	1.776417	5.338710	2.804818	10	5	1
Faktor	5.046875	1.030175	2.290323	2.051685	6.412698	2.697878	11	6	2
Falle	3.571429	1.997695	4.781250	2.360177	4.080645	2.729910	11	5	2
Farbe	5.777778	1.518111	3.750000	2.343515	4.564516	3.033264	10	5	2
Farmer	5.156250	0.929563	2.229508	1.657241	3.238095	2.441009	13	6	2
Faser	4.936508	0.877552	2.557377	1.928078	2.269841	1.648130	15	5	2
Fass	5.078125	1.276213	2.467742	2.022154	1.587302	1.087093	14	4	1
Fäulnis	3.156250	2.317763	4.920635	2.509990	4.777778	2.690752	16	7	2
Fee	6.349206	2.156451	4.312500	2.461610	5.193548	3.171795	14	3	1
Feier	6.546875	2.188931	5.156250	2.262312	4.396825	2.738847	11	5	2
Feigling	3.812500	1.859126	5.828125	2.271666	6.126984	2.386062	15	8	2
Feind	3.079365	2.384774	7.000000	2.123190	6.016129	2.538180	10	5	1
Feld	5.171875	1.091885	2.129032	1.750727	2.451613	2.005545	10	4	1
Felsen	5.390625	1.304658	3.274194	2.166582	1.258065	0.541264	11	6	2
Fenster	5.359375	1.337698	2.290323	1.643538	1.460318	0.667818	9	7	2
Ferse	4.953125	0.652947	2.562500	1.876124	1.919355	1.485431	15	5	2
Fessel	3.921875	1.978493	5.687500	2.701411	2.114754	1.592675	15	6	2
Fest	6.380952	2.019490	4.343750	2.344996	4.206349	2.528283	10	4	1
Fete	6.435484	2.139565	5.079365	2.281069	4.523810	2.855991	14	4	2
Fetzen	4.234375	1.715866	4.812500	2.231627	3.682540	2.441743	13	6	2
Fick	4.873016	2.517629	7.234375	2.209232	4.419355	2.843159	17	4	1
Fieber	3.250000	2.239615	5.203125	2.276029	5.661290	2.553965	12	6	2
Figur	5.546875	1.194295	4.158730	2.528587	3.825397	2.426598	10	5	2
Film	5.870968	1.760066	4.796875	2.520895	2.435484	2.061521	8	4	1
Filter	5.078125	1.088244	2.262295	2.072853	2.206349	1.393056	13	6	2
Finger	5.111111	1.137500	3.625000	2.134375	1.412698	0.977735	10	6	2
Fisch	5.406250	1.630257	2.806452	1.809254	1.444444	0.735676	11	5	1
Fixer	3.111111	2.450221	6.344262	2.594130	4.555556	2.513048	16	5	2
Flagge	5.031250	1.234025	2.806452	2.055291	1.725807	1.580303	12	6	2
Flasche	5.046875	1.361951	2.412698	1.671728	1.396825	0.942538	11	7	2
Fleiss	6.460318	1.941278	4.238095	2.204938	7.725807	1.651322	13	5	1
Flinte	4.062500	1.602330	4.953125	2.663270	2.158730	1.868295	14	6	2
Flirt	6.596774	2.336171	6.412698	2.068465	6.174603	2.399864	14	5	1
Fluch	3.253968	2.257377	5.682540	2.428496	7.523810	1.821530	12	5	1
Fluss	5.781250	1.350705	3.269841	2.259077	1.709677	1.136389	12	5	1
Fokus	5.312500	1.125110	2.904762	1.989604	6.483871	2.726566	13	5	2
Folie	5.078125	0.741185	2.150000	1.592621	2.114754	1.654271	13	5	2
Folter	2.761905	2.751623	6.790323	1.992915	6.190476	2.551768	12	6	2
Fön	5.079365	0.725160	2.296875	1.831642	1.580645	1.222043	16	3	1
Format	5.047619	0.580005	2.064516	1.915176	5.193548	2.862068	12	6	2
Formel	5.156250	0.979452	2.645161	2.081116	5.822581	3.027330	11	6	2
Fotze	3.187500	2.653988	6.843750	2.191026	2.936508	2.235152	18	5	2
Fracht	4.937500	0.888641	2.606557	2.035343	3.238095	2.414434	13	6	1
Fratze	3.750000	2.174893	5.666667	2.409658	4.746032	2.711792	15	6	2
Freibad	6.079365	2.034395	3.703125	2.143130	2.333333	2.047816	13	7	1
Freiheit	7.396825	2.556079	6.619048	2.405830	8.065574	1.973735	9	8	2
Freude	6.809524	2.558081	7.015625	2.387083	7.666667	2.125119	9	6	2
Freund	6.937500	2.587362	7.111111	2.215132	4.730159	2.846653	9	6	1
Frieden	7.265625	2.829786	6.349206	2.489713	8.290323	1.497398	9	7	2
Frische	6.269841	2.237556	3.761905	2.298066	6.920635	2.119811	13	7	2
Frosch	4.937500	1.232818	3.096774	2.078064	1.460318	0.799706	13	6	1
Frucht	5.968750	1.935211	5.171875	2.664015	2.500000	2.366086	13	6	1
Frühling	7.000000	2.642750	5.698413	2.691893	5.822581	3.038141	11	8	2
Frust	3.421875	2.287334	5.825397	2.472688	8.064516	1.212922	12	5	1
Fülle	5.079365	1.451380	3.687500	2.188534	6.919355	2.328008	11	5	2
Funzel	4.796875	1.404976	3.333333	2.286002	3.564516	2.413222	18	6	2
Furcht	3.453125	2.403237	6.838710	2.026008	7.645161	2.120136	11	6	1
Furie	3.619048	2.210157	6.343750	2.048761	5.704918	2.703974	16	5	2
Furz	3.484375	2.246636	5.640625	2.464782	3.746032	2.687896	17	4	1
Futter	5.296875	1.164006	2.596774	1.979068	2.460318	1.692730	12	6	2
Gabel	5.187500	0.814063	2.142857	1.522489	1.190476	0.470317	14	5	2
Gaffer	3.734375	1.904399	5.781250	2.353442	4.825397	2.556079	16	6	2
Galgen	2.803279	2.767789	5.822581	2.645901	1.571429	0.855990	14	6	2
Galle	3.859375	2.014765	4.507937	2.638872	3.206349	2.541010	15	5	2
Gang	5.140625	0.973738	2.483871	1.853149	4.126984	2.779487	10	4	1
Garn	5.234375	0.583971	2.098361	1.841240	2.015873	1.736627	15	4	1
Gasse	5.000000	1.221501	2.951613	2.052008	3.048387	2.271906	13	5	2
Gatte	5.656250	1.565691	3.983871	2.446087	4.145161	2.578898	13	5	2
Gebäck	6.062500	1.717094	3.234375	2.180303	2.000000	1.305725	14	6	2
Gebälk	5.046875	1.338439	2.555556	1.775985	3.129032	2.272313	15	6	2
Gebiet	4.953125	0.785376	2.145161	1.607837	4.714286	2.819452	9	6	2
Gebiss	4.218750	1.240440	3.437500	2.076895	1.698413	1.252545	16	6	2
Gebrauch	5.031250	0.975392	2.301587	1.854680	6.888889	1.960177	11	8	2
Gebrüll	3.859375	1.815867	6.000000	2.039297	5.158730	2.665226	14	7	2
Geburt	6.531250	2.189214	5.396825	2.802877	3.634921	2.503556	11	6	2
Gebüsch	5.406250	1.079664	2.790323	1.820981	2.063492	1.468739	13	7	2
Gedärm	3.539683	2.298845	5.781250	2.503767	3.603175	2.446457	17	6	2
Gedicht	6.333333	2.032002	4.634921	2.522809	3.777778	2.523723	11	7	2
Geduld	5.875000	2.207491	4.015873	2.217904	7.354839	2.065301	11	6	2
Gefahr	3.828125	2.313210	7.000000	2.054805	6.983871	2.213905	8	6	2
Gefühl	6.516129	2.245155	7.000000	2.278936	7.919355	2.026856	9	6	2
Geheul	3.593750	2.068039	5.317460	2.347445	6.142857	2.381766	15	6	2
Geier	4.250000	1.885618	3.838710	2.334303	1.666667	1.295152	14	5	2
Geilheit	4.890625	2.190290	7.031250	1.708696	7.774194	1.731287	16	8	2
Geisel	2.857143	2.644880	6.460318	2.298845	4.000000	2.611450	13	6	2
Geiz	3.328125	2.261161	5.222222	2.296171	7.555556	2.069578	15	4	1
Gelenk	5.062500	0.940702	2.523810	1.982644	1.777778	1.142217	15	6	2
Gemächt	5.031250	1.661599	5.095238	2.512641	3.301587	2.531319	17	7	2
Gemahl	5.750000	1.708987	3.984127	2.331358	4.349206	2.640618	13	6	2
Genie	6.854839	2.610488	6.562500	2.416051	6.725807	2.618781	12	5	2
Genuss	6.467742	2.634685	6.453125	2.260283	7.193548	2.331809	12	6	2
Gepäck	5.234375	1.243934	2.693548	1.842919	2.571429	2.168055	12	6	2
Gesang	6.174603	2.196329	4.951613	2.452349	4.888889	2.788867	11	6	2
Geschenk	6.338710	2.239317	4.171875	2.387498	3.666667	2.735667	12	8	2
Geschrei	3.640625	2.372911	6.571429	2.298066	5.968254	2.651647	12	8	2
Geschwür	3.206349	2.652806	5.921875	2.399105	3.338710	2.579513	16	8	2
Gesicht	6.063492	1.891177	4.187500	2.422612	2.225807	1.787198	8	7	2
Gespött	3.396825	2.188973	5.625000	2.074027	6.661290	2.388110	15	7	2
Gestank	3.126984	2.465845	5.825397	2.218250	5.650794	2.736602	14	7	2
Getier	4.380952	1.790914	4.546875	2.672195	4.015873	2.808352	15	6	2
Getränk	5.619048	1.895909	3.836066	2.153914	2.737705	2.136209	13	7	2
Gewalt	2.936508	2.626619	7.015873	2.098326	6.770492	2.519216	8	6	2
Gewand	5.671875	1.260570	3.421875	2.188024	2.903226	2.215517	12	6	2
Gewinn	6.265625	2.132457	5.437500	2.648000	6.177419	2.688922	9	6	2
Gewühl	3.953125	1.758694	5.000000	2.353929	5.661290	2.579513	14	6	2
Gewürm	3.515625	2.274721	5.147541	2.535324	4.126984	2.714906	17	6	2
Gezänk	3.328125	2.047489	5.062500	2.455153	6.984127	2.105998	15	6	2
Ghetto	3.281250	2.547758	6.406250	1.989805	4.507937	2.435444	13	6	2
Giebel	4.828125	0.679745	2.387097	1.953180	2.460318	2.153957	14	6	2
Gier	3.126984	2.702998	5.333333	2.375955	7.564516	2.280502	13	4	1
Gift	3.390625	2.327320	6.523810	2.284994	4.190476	2.717074	12	4	1
Gipfel	5.640625	1.440538	3.714286	2.611566	2.147541	1.711102	10	6	2
Glanz	5.906250	1.788133	3.984375	2.134317	6.333333	2.540003	11	5	1
Glas	5.203125	1.382196	2.387097	1.777407	1.507937	0.913572	10	4	1
Glaube	5.952381	2.239157	4.564516	2.287679	8.048387	1.768832	12	6	2
Gleis	4.843750	0.946485	2.258065	1.764267	1.548387	0.986423	13	5	1
Glied	5.390625	1.569725	6.142857	2.474757	2.031746	1.674941	13	5	1
Glitzer	5.523810	1.501152	3.838710	2.327269	3.460318	2.249196	16	7	2
Glück	6.968750	2.736982	7.359375	2.080653	8.241936	1.789638	8	5	1
Gold	6.063492	2.146813	4.555556	2.582683	1.968254	1.469784	9	4	1
Golf	5.171875	1.202573	2.476191	1.990762	3.032258	2.381402	10	4	1
